,acousticness,album,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,title,type,valence
0,0.0567,JACKBOYS,Travis Scott,0.559,244874.0,0.491,rap,7h0d2h0fUmzbs7zeFigJPn,0.0,2.0,0.0992,-6.406,0.0,82.0,0.0346,153.131,4.0,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,audio_features,0.114
1,0.9,JACKBOYS,Travis Scott,0.413,46837.0,0.13,rap,62zKJrpbLxz6InR3tGyr7o,0.82,0.0,0.111,-25.166,0.0,67.0,0.0336,123.342,1.0,JACKBOYS,audio_features,0.0676
2,0.071,JACKBOYS,Travis Scott,0.859,244761.0,0.6,rap,6uJONCdr2rC65BNmCnTBWK,0.0,7.0,0.353,-4.63,0.0,79.0,0.301,123.017,4.0,GANG GANG,audio_features,0.568
3,0.253,JACKBOYS,Travis Scott,0.75,157133.0,0.789,rap,7LGWmZaoS7jZJ5tEi9EcDi,0.0,2.0,0.129,-4.578,1.0,76.0,0.108,147.957,4.0,HAD ENOUGH (feat. Quavo & Offset),audio_features,0.673
4,0.0104,JACKBOYS,Travis Scott,0.802,157712.0,0.591,rap,6gi6y1xwmVszDWkUqab1qw,0.0,8.0,0.196,-4.895,1.0,88.0,0.225,139.864,4.0,OUT WEST (feat. Young Thug),audio_features,0.309
5,0.0695,JACKBOYS,Travis Scott,0.643,250142.0,0.594,rap,4AO1XhrgJczQ9bNVxdfKQe,1.46e-05,9.0,0.115,-5.191,0.0,78.0,0.0312,118.037,4.0,WHAT TO DO? (feat. Don Toliver),audio_features,0.195
6,0.135,JACKBOYS,Travis Scott,0.594,181145.0,0.676,rap,40mjsnRjCpycdUw3xhS20g,0.0,2.0,0.163,-5.808,1.0,81.0,0.344,143.477,4.0,GATTI,audio_features,0.472
7,0.104,Antisocial (with Travis Scott) [MK Remix],Travis Scott,0.796,179502.0,0.868,rap,1qf82BwoRe9zdLvyvx7oGP,0.00024,10.0,0.115,-5.774,0.0,62.0,0.0992,124.981,4.0,Antisocial (with Travis Scott) - MK Remix,audio_features,0.586
8,0.383,Antisocial (with Travis Scott) [Steel Banglez & Zeph Ellis Remix],Travis Scott,0.748,188312.0,0.566,rap,72McVYThUxWasGByny8wE5,6.19e-06,10.0,0.236,-10.174,0.0,49.0,0.0998,142.035,4.0,Antisocial (with Travis Scott) - Steel Banglez & Zeph Ellis Remix,audio_features,0.701
9,0.174,Antisocial (with Travis Scott) [Ghali Remix],Travis Scott,0.705,226386.0,0.844,rap,3GUEsjyYsxsgk06bkiyYsa,0.0,5.0,0.366,-4.703,0.0,55.0,0.0683,152.033,4.0,Antisocial (with Travis Scott) - Ghali Remix,audio_features,0.934
10,0.188,Hot (Remix) [feat. Gunna and Travis Scott],Travis Scott,0.845,279907.0,0.631,rap,56AMYGJzxBO6p8v0wEe9de,0.0,7.0,0.0806,-8.206,0.0,79.0,0.216,111.983,4.0,Hot (Remix) [feat. Gunna and Travis Scott],audio_features,0.545
11,0.0546,HIGHEST IN THE ROOM,Travis Scott,0.598,175721.0,0.427,rap,3eekarcy7kvN4yt5ZFzltW,5.83e-06,7.0,0.21,-8.764,0.0,90.0,0.0317,76.469,4.0,HIGHEST IN THE ROOM,audio_features,0.0605
12,0.133,Antisocial (with Travis Scott),Travis Scott,0.715,161747.0,0.823,rap,7mb1IkA4MKjjh8KHSzOEB2,0.0,5.0,0.361,-5.313,0.0,63.0,0.0495,151.956,4.0,Antisocial (with Travis Scott),audio_features,0.91
13,0.0247,The London,Travis Scott,0.796,200107.0,0.586,rap,7DcvwMAiqKJQD1rrdfxSDx,0.0,4.0,0.132,-6.946,0.0,80.0,0.147,97.981,4.0,The London (feat. J. Cole & Travis Scott),audio_features,0.179
14,0.765,Care Package,Drake,0.423,253803.0,0.587,canadian hip hop,1qyFlfPREPbRcS2BNszdYI,0.0,6.0,0.114,-6.635,1.0,62.0,0.529,180.331,4.0,Dreams Money Can Buy,audio_features,0.33
15,0.371,Care Package,Drake,0.631,240957.0,0.788,canadian hip hop,0Tacxc5lDJ8LwiO1pWNSl8,0.000317,4.0,0.108,-7.142,0.0,66.0,0.102,157.769,4.0,The Motion,audio_features,0.544
16,0.205,Care Package,Drake,0.789,235566.0,0.404,canadian hip hop,4n4BflhWjCHIxrI4v7Xt9s,0.0,1.0,0.219,-8.364,1.0,66.0,0.23,122.062,4.0,How Bout Now,audio_features,0.472
17,0.779,Care Package,Drake,0.421,281519.0,0.539,canadian hip hop,4Wjhj0WjkyECccfHVIgaTq,0.0,11.0,0.111,-5.456,0.0,69.0,0.274,89.177,3.0,Trust Issues,audio_features,0.523
18,0.348,Care Package,Drake,0.733,353698.0,0.361,canadian hip hop,4czcw3NVLY0of5hTD7OufN,0.000285,1.0,0.0942,-11.129,1.0,60.0,0.135,94.902,4.0,Days in The East,audio_features,0.0361
19,0.0322,Care Package,Drake,0.673,266325.0,0.81,canadian hip hop,3W3FVHEDetkiRkkGKDmdir,0.0,8.0,0.133,-3.793,1.0,58.0,0.36,166.084,4.0,Draft Day,audio_features,0.564
20,0.115,Care Package,Drake,0.743,240218.0,0.66,canadian hip hop,6C9SwoZ5OrxcvkntgA5t8s,0.0,4.0,0.101,-4.802,0.0,61.0,0.418,192.031,4.0,4pm in Calabasas,audio_features,0.549
21,0.0678,Care Package,Drake,0.555,205264.0,0.88,canadian hip hop,0FnxK9FEAQyPJ284QcieNb,0.0,11.0,0.0723,-4.325,0.0,60.0,0.265,87.195,4.0,5 Am in Toronto,audio_features,0.391
22,0.706,Care Package,Drake,0.477,253562.0,0.501,canadian hip hop,3sMC6vfTTSa0mMAPTwzDVD,5.61e-06,11.0,0.0953,-9.178,0.0,58.0,0.0398,81.376,4.0,I Get Lonely,audio_features,0.689
